epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1513.24,0.90762,0.9132,1.16052,0.69801,0.61772,0.66179,0.4402,1.1792,1.20359,1.32137,0.00024774,0.00024774,0.00024774
43,1548.4,0.89081,0.90267,1.14797,0.71361,0.60978,0.66602,0.43981,1.20825,1.20098,1.33732,0.000243611,0.000243611,0.000243611
44,1584.47,0.88873,0.89914,1.15406,0.73974,0.60541,0.67064,0.4468,1.19182,1.18485,1.32252,0.000239483,0.000239483,0.000239483
45,1619.92,0.8926,0.88974,1.14877,0.71378,0.60788,0.66582,0.44455,1.19147,1.21075,1.32966,0.000235355,0.000235355,0.000235355
46,1655.48,0.89538,0.88964,1.15263,0.71992,0.61226,0.66796,0.44464,1.19777,1.18244,1.32237,0.000231226,0.000231226,0.000231226
47,1690.54,0.87352,0.88431,1.13871,0.7059,0.62308,0.67092,0.44962,1.18457,1.20335,1.32496,0.000227098,0.000227098,0.000227098
48,1725.59,0.87656,0.85941,1.13949,0.71927,0.60346,0.66461,0.44268,1.1979,1.2072,1.32326,0.00022297,0.00022297,0.00022297
49,1760.15,0.87802,0.86431,1.13766,0.73417,0.61123,0.66989,0.44466,1.18725,1.20133,1.32451,0.000218842,0.000218842,0.000218842
50,1795.59,0.86895,0.85574,1.13586,0.72241,0.59609,0.66459,0.44806,1.17017,1.17465,1.30658,0.000214713,0.000214713,0.000214713
51,1830.82,0.87583,0.84866,1.13089,0.73237,0.6091,0.67319,0.44467,1.19373,1.19395,1.32572,0.000210585,0.000210585,0.000210585
52,1867.25,0.86345,0.84771,1.12885,0.73692,0.61071,0.68067,0.44884,1.19047,1.16251,1.33365,0.000206457,0.000206457,0.000206457
53,1901.67,0.85603,0.83146,1.12145,0.73027,0.60831,0.67264,0.44928,1.18184,1.17958,1.32333,0.000202328,0.000202328,0.000202328
54,1936.54,0.8553,0.82619,1.1204,0.72055,0.609,0.6659,0.44492,1.17994,1.19465,1.32187,0.0001982,0.0001982,0.0001982
