epoch,train/loss_classifier,train/loss_box_reg,train/loss_objectness,train/loss_rpn_box_reg,train/loss,_epoch_seconds,val/loss,mAP@0.5,mAP@0.5:0.95,Precision,Recall,lr,time/epoch_seconds,memory/peak_mb
1,1.2739544846117496,0.4695019293576479,0.12039970513433218,0.08317451574839652,1.94703059643507,17.58430504798889,1.3148458712967113,0.002848735311999917,0.0008161275763995945,0.023533136344449136,0.24004305705059203,0.0001,17.58430504798889,18282.05419921875
2,0.6751230843365192,0.4414440728724003,0.060455176630057395,0.061758855532389134,1.2387811988592148,17.34829831123352,1.2174373627931345,0.005686015356332064,0.0019509283592924476,0.044131817305839274,0.2465016146393972,9.997532801828658e-05,17.34829831123352,20129.4755859375
3,0.6356705892831087,0.45527462288737297,0.02105528663378209,0.04966983606573194,1.1616703309118748,31.056896448135376,1.1030881032493198,0.01851162500679493,0.007586538325995207,0.07707910750507099,0.28632938643702904,9.990133642141359e-05,31.056896448135376,20130.07080078125
4,0.5730721093714237,0.4366340022534132,0.013133748376276344,0.04216238419758156,1.065002255141735,32.65083909034729,1.0149860114779585,0.08044055104255676,0.03684527426958084,0.10547988596769084,0.35844994617868675,9.977809823015401e-05,32.65083909034729,20133.0830078125
5,0.5236538704484701,0.416226570494473,0.007436768457409926,0.04323337262030691,0.9905505776405334,18.90521764755249,0.9214481305057234,0.16444969177246094,0.07714135944843292,0.10391113168248091,0.48331539289558667,9.960573506572391e-05,18.90521764755249,18279.849609375
6,0.45599282532930374,0.390526344999671,0.007420029854984023,0.0422926556202583,0.8962318599224091,31.23997187614441,0.83119273049806,0.27688804268836975,0.13017359375953674,0.08967441860465117,0.5188374596340151,9.93844170297569e-05,31.23997187614441,20128.84228515625
7,0.38092016242444515,0.3797330195084214,0.005379636109864805,0.0357793839648366,0.8018122017383575,24.394363164901733,0.749390474060931,0.46398159861564636,0.2245512306690216,0.1385,0.596340150699677,9.911436253643445e-05,24.394363164901733,18736.6044921875
8,0.33115722425282,0.38870048616081476,0.006474966750829481,0.03534263913752511,0.7616753224283457,19.9969584941864,0.7037115384887329,0.5636387467384338,0.2621403634548187,0.11006346328195829,0.6533907427341227,9.879583809693738e-05,19.9969584941864,18280.39501953125
9,0.28858731128275394,0.3733984939754009,0.0041917693670256995,0.033101295499363914,0.6992788687348366,19.937477111816406,0.6238422688846299,0.6694775223731995,0.3288722038269043,0.1202906865557468,0.6770721205597416,9.842915805643157e-05,19.937477111816406,18278.94970703125
10,0.24031345546245575,0.34213254787027836,0.0056005623991950415,0.031387090450152755,0.6194336619228125,18.042469263076782,0.5571038022851553,0.7430901527404785,0.3913744390010834,0.14330413016270338,0.7395048439181916,9.801468428384717e-05,18.042469263076782,18282.39453125
11,0.1962307021021843,0.34399760887026787,0.0042096948163816705,0.030738617875613272,0.5751766264438629,25.925986289978027,0.5170669319504952,0.8133259415626526,0.40160468220710754,0.14930114358322744,0.7588805166846071,9.75528258147577e-05,25.925986289978027,20135.654296875
12,0.17594666732475162,0.32015356980264187,0.0027399013706599362,0.02392001816770062,0.5227601546794176,19.02318000793457,0.49075899812612533,0.8641756176948547,0.442630797624588,0.18623588127134227,0.7631862217438106,9.70440384477113e-05,19.02318000793457,18280.46044921875
13,0.15885010780766606,0.306611361913383,0.0025127475746558048,0.026579722936730832,0.4945539440959692,28.82441234588623,0.4391797237258288,0.901220440864563,0.49518558382987976,0.19284188034188035,0.7771797631862217,9.64888242944126e-05,28.82441234588623,20131.91455078125
14,0.13491052715107799,0.2844451479613781,0.003115917199465912,0.026722260285168886,0.4491938538849354,28.967612266540527,0.4025867442539388,0.9302059412002563,0.5186670422554016,0.22153500140567894,0.8482238966630786,9.588773128419907e-05,28.967612266540527,20133.7783203125
15,0.12176139862276614,0.25854621827602386,0.0026110313629033044,0.02911642612889409,0.4120350740849972,33.70382022857666,0.39516043889034336,0.9317687153816223,0.5469186902046204,0.2448210922787194,0.8396124865446717,9.5241352623301e-05,33.70382022857666,19202.099609375
16,0.11022934271022677,0.25087136682122946,0.002223906198196346,0.024171400407794863,0.3874960206449032,39.65598726272583,0.36390049143960823,0.9445192217826843,0.5685857534408569,0.26398135818908125,0.8536060279870828,9.455032620941843e-05,39.65598726272583,20134.16748046875
17,0.10754681844264269,0.24473646841943264,0.0023833314735384192,0.02164023119257763,0.3763068560510874,36.9321563243866,0.3509573614364143,0.9584606885910034,0.5773046016693115,0.28516579406631765,0.8794402583423035,9.381533400219321e-05,36.9321563243866,19202.7216796875
18,0.09708872530609369,0.25363999512046576,0.0018071592421620153,0.021585813927231357,0.3741216929629445,44.37243962287903,0.33623268214508073,0.9587731957435608,0.589826226234436,0.25279850746268656,0.8751345532831001,9.303710135019722e-05,44.37243962287903,20132.970703125
19,0.09711745055392385,0.23323260713368654,0.0021734435449616285,0.022382046445272863,0.35490554105490446,30.70410919189453,0.30349697012570687,0.9616324305534363,0.6214523911476135,0.3216100039077765,0.8858988159311088,9.22163962751008e-05,30.70410919189453,20130.8310546875
20,0.08348124520853162,0.20574282947927713,0.0016530289290130895,0.021203420765232295,0.31208051927387714,25.15159320831299,0.2870608395566876,0.9642642736434937,0.6434618234634399,0.3524760715771952,0.9117330462863293,9.135402871372814e-05,25.15159320831299,20135.1171875
21,0.08265727036632597,0.20282049104571342,0.0017024850203597452,0.021170263993553817,0.30835051089525223,28.23530077934265,0.2862490358238574,0.9798288941383362,0.6334308981895447,0.39106402579456473,0.9138858988159311,9.045084971874742e-05,28.23530077934265,18736.2802734375
22,0.07616078993305564,0.20090628415346146,0.001869840944891621,0.019219311856431887,0.29815622698515654,16.051745414733887,0.2797234954596206,0.9660416841506958,0.6571388244628906,0.3526691887347625,0.9031216361679225,8.950775061878456e-05,16.051745414733887,18280.826171875
23,0.07646771380677819,0.19639457669109106,0.0020786468903679634,0.015498657274292782,0.29043959826231003,15.88264513015747,0.2772895542684637,0.9687025547027588,0.6427325010299683,0.3291388124262682,0.9009687836383208,8.85256621387895e-05,15.88264513015747,18279.806640625
