epoch,train/cls_loss,train/reg_loss,train/loss,_epoch_seconds,val/loss,mAP@0.5,mAP@0.5:0.95,Precision,Recall,lr,time/epoch_seconds,memory/peak_mb
1,2.384797306265682,0.009062122504360559,2.393859438598156,12.431238889694214,2.0859477571211755,0.0,0.0,0.0,0.0,0.0001,12.431238889694214,2642.8193359375
2,1.0016070928541012,0.005523072000244156,1.0071301702409983,9.53522539138794,1.2207896050531417,0.0,0.0,0.0,0.0,9.997532801828658e-05,9.53522539138794,2528.0634765625
3,0.7584675521575264,0.004942730940911133,0.7634102860465646,9.582508563995361,1.1211702449945733,0.0,0.0,0.0,0.0,9.990133642141359e-05,9.582508563995361,2593.62158203125
4,0.67323601507087,0.004692381931107548,0.6779284011572599,9.525747537612915,1.1541563849896193,0.0,0.0,0.0,0.0,9.977809823015401e-05,9.525747537612915,2590.75537109375
5,0.6298999982063833,0.004523858159160454,0.6344238677993417,9.488795042037964,1.1104502538219094,0.0,0.0,0.0,0.0,9.960573506572391e-05,9.488795042037964,2570.85986328125
6,0.5931562518035207,0.0044035027713675845,0.5975597519427538,9.162049293518066,1.1443565168883651,4.208871541777626e-05,6.744336587871658e-06,0.09375,0.0032292787944025836,9.93844170297569e-05,9.162049293518066,2555.978515625
7,0.5604479331805123,0.0043156230508998306,0.5647635599598289,9.426354885101318,1.0982883181422949,3.6744531826116145e-05,7.16393788025016e-06,0.061224489795918366,0.006458557588805167,9.911436253643445e-05,9.426354885101318,2560.66162109375
8,0.5277336844628735,0.004177416909016074,0.531911090016365,9.521014213562012,1.0668610222637653,0.00012368154420983046,1.844357575464528e-05,0.08875739644970414,0.016146393972012917,9.879583809693738e-05,9.521014213562012,2546.76171875
9,0.5026920772738777,0.0040406274068800485,0.5067327045835555,9.37718653678894,1.1009854674339294,0.00019058420730289072,2.7313219106872566e-05,0.0782608695652174,0.0193756727664155,9.842915805643157e-05,9.37718653678894,2699.13720703125
10,0.48133392742875003,0.004079055783790864,0.48541298881173134,9.60610842704773,1.1575302658602595,8.902657282305881e-05,1.628521022212226e-05,0.07547169811320754,0.017222820236813777,9.801468428384717e-05,9.60610842704773,2528.99853515625
11,0.4671999178323176,0.003849975704355302,0.47104989690706134,9.413585662841797,1.1160193354589865,0.00011949471081607044,1.7259946616832167e-05,0.08823529411764706,0.012917115177610334,9.75528258147577e-05,9.413585662841797,2527.8896484375
12,0.45586715354693297,0.004003454895325831,0.45987060759216547,9.69667935371399,1.1225264410022646,0.0001290015206905082,1.7836971892393194e-05,0.06578947368421052,0.016146393972012917,9.70440384477113e-05,9.69667935371399,2506.36083984375
13,0.43436155915742347,0.003870575288260625,0.43823213782161474,9.823306560516357,1.081651825341396,0.0018420247361063957,0.0008685631910338998,0.09090909090909091,0.01829924650161464,9.64888242944126e-05,9.823306560516357,2472.36376953125
14,0.4102078513858487,0.0038074428622891787,0.41401529079303145,9.747121810913086,1.0714167690603063,0.0017646030755713582,0.0010179005330428481,0.07692307692307693,0.00968783638320775,9.588773128419907e-05,9.747121810913086,2557.03125
15,0.3881198225166145,0.003867127137624493,0.3919869465753436,9.787521123886108,1.1272737851832062,0.001715026912279427,0.0011801761575043201,0.04452054794520548,0.013993541442411194,9.5241352623301e-05,9.787521123886108,2643.681640625
16,0.36939534140043406,0.004607119424349548,0.3740024622529745,9.524556875228882,1.0822377249132842,0.0017862465465441346,0.001027395250275731,0.050359712230215826,0.022604951560818085,9.455032620941843e-05,9.524556875228882,2544.68603515625
17,0.3389392957558357,0.004060605784502513,0.3429998983629048,9.719755172729492,1.137470789370127,0.0019818225409835577,0.000550975906662643,0.10666666666666667,0.017222820236813777,9.381533400219321e-05,9.719755172729492,2589.06884765625
18,0.3125116592714221,0.004652637987732078,0.31716429768130183,10.036863327026367,1.0088674980215728,0.002183890901505947,0.0007709656492806971,0.06882591093117409,0.01829924650161464,9.303710135019722e-05,10.036863327026367,2666.8701171875
19,0.28485057961233906,0.0069205731603005916,0.29177115578204393,9.830668687820435,1.0367867483291775,0.003450833261013031,0.0010494327871128917,0.0725,0.031216361679224973,9.22163962751008e-05,9.830668687820435,2576.54541015625
20,0.2605565374933576,0.005850986790221668,0.26640752516686916,9.667782545089722,0.9847371919313446,0.006802030839025974,0.0021876832470297813,0.06769230769230769,0.023681377825618945,9.135402871372814e-05,9.667782545089722,2737.96630859375
21,0.23102259519828294,0.005180110623598466,0.23620270332321525,9.755235433578491,0.9487364550004713,0.0048367418348789215,0.0013780880253762007,0.06313131313131314,0.02691065662002153,9.045084971874742e-05,9.755235433578491,2512.9541015625
22,0.20548750099919744,0.00662949124671286,0.21211699326522648,9.843140602111816,0.8940079453168437,0.007491348311305046,0.0022037082817405462,0.07166123778501629,0.023681377825618945,8.950775061878456e-05,9.843140602111816,2574.38916015625
