epoch,train/loss,val/loss,mAP@0.5,mAP@0.5:0.95,Precision,Recall,lr
76,2.55847,2.18912,0.8846,0.7345,0.8858,0.81269,3.18206e-05
77,2.5766799999999996,2.18573,0.88372,0.73438,0.88989,0.81045,3.06425e-05
78,2.68722,2.17994,0.88187,0.73496,0.88855,0.81163,2.94644e-05
79,2.5067500000000003,2.17701,0.88331,0.73572,0.88553,0.81333,2.82863e-05
80,2.5611699999999997,2.1751,0.89098,0.73747,0.88945,0.82103,2.71082e-05
81,2.5213,2.1681999999999997,0.89045,0.73905,0.89868,0.81591,2.59301e-05
82,2.52412,2.1629,0.89128,0.73794,0.89884,0.81721,2.4752e-05
83,2.55837,2.15782,0.89166,0.7401,0.89139,0.82076,2.35739e-05
84,2.5555399999999997,2.1537100000000002,0.89208,0.73932,0.90407,0.81422,2.23958e-05
85,2.57057,2.1482,0.89223,0.74096,0.90453,0.8142,2.12177e-05
86,2.51366,2.14855,0.89197,0.74108,0.90383,0.8156,2.00396e-05
87,2.5263099999999996,2.14499,0.89427,0.74182,0.87925,0.83545,1.88615e-05
88,2.5538499999999997,2.14276,0.89436,0.74265,0.88302,0.8336,1.76834e-05
89,2.48729,2.1405,0.89316,0.74195,0.88741,0.83164,1.65053e-05
90,2.52485,2.13807,0.89312,0.74369,0.88922,0.83242,1.53272e-05
91,2.53409,2.13564,0.89315,0.74428,0.89205,0.83141,1.41491e-05
92,2.46938,2.13962,0.88646,0.74342,0.89222,0.82003,1.2971e-05
93,2.6267300000000002,2.14223,0.88632,0.74,0.89295,0.8206,1.17929e-05
94,2.60393,2.14808,0.88641,0.73908,0.89057,0.81889,1.06148e-05
95,2.645,2.15183,0.88602,0.73702,0.89427,0.81412,9.4367e-06
96,2.48067,2.1577,0.88652,0.73737,0.8959,0.81133,8.2586e-06
97,2.4846500000000002,2.1637500000000003,0.88692,0.73507,0.89662,0.8106,7.0805e-06
98,2.53952,2.16913,0.88836,0.73883,0.89826,0.8111,5.9024e-06
99,2.49888,2.1727,0.88806,0.7391,0.8974,0.80962,4.7243e-06
100,2.5093,2.17587,0.8857,0.73855,0.89952,0.80675,3.5462e-06
101,2.43282,2.1790200000000004,0.88604,0.73647,0.89701,0.80801,2.3681e-06
101,2.43282,2.1790200000000004,0.88604,0.73647,0.89701,0.80801,2.3681e-06
