epoch,train/loss_classifier,train/loss_box_reg,train/loss_objectness,train/loss_rpn_box_reg,train/loss,_epoch_seconds,val/loss,mAP@0.5,mAP@0.5:0.95,Precision,Recall,lr,time/epoch_seconds,memory/peak_mb
1,0.26612615534149037,0.23894536717178913,0.026190938285221687,0.02207893512554663,0.5533413972241429,242.7064299583435,0.47935152763716016,0.3785244822502136,0.1595851629972458,0.05025468858532067,0.5552570990023024,0.0001,242.7064299583435,14309.2998046875
2,0.17889630277983296,0.19816490218114738,0.012589290713465151,0.019365208155863112,0.4090157031727294,308.8553423881531,0.4101347897238881,0.5254172086715698,0.24914458394050598,0.05113007034875019,0.6554105909439755,9.755282581475769e-05,308.8553423881531,13655.8037109375
3,0.1353492513953592,0.17538421339810656,0.007666681750812166,0.01758178390604191,0.3359819304067106,250.14589309692383,0.4032699767900891,0.5801990032196045,0.28794240951538086,0.08895789726520949,0.6632130979790227,9.045084971874737e-05,250.14589309692383,13326.9208984375
4,0.10213847405696734,0.1546878160926671,0.005354152873976524,0.015960108821679014,0.2781405515921192,253.68866515159607,0.3938748866230606,0.6215627193450928,0.3253568410873413,0.098873772411929,0.7018419033000768,7.938926261462366e-05,253.68866515159607,14309.30908203125
5,0.07890706515302673,0.13440410717845724,0.0037101537664667307,0.014280310746884128,0.2313016362654896,266.73228669166565,0.40396950216852573,0.6372542381286621,0.32794898748397827,0.1553439333390018,0.7010744435917114,6.545084971874737e-05,266.73228669166565,14308.0205078125
6,0.059644742696263346,0.11212883509707432,0.00230250125814593,0.01257346133859947,0.1866495405939726,259.6571056842804,0.4084565029884002,0.6744993925094604,0.38141047954559326,0.22248822605965463,0.7251215144538246,4.9999999999999996e-05,259.6571056842804,14310.30908203125
7,0.045882808623282006,0.09265277603159126,0.001703333214765572,0.010837638678703123,0.15107655621017702,253.43086051940918,0.44010522066136876,0.6917764544487,0.40385937690734863,0.3177491128260012,0.7215400358147864,3.454915028125263e-05,253.43086051940918,14309.3212890625
8,0.03745046524351802,0.07506988936672196,0.001192977970950973,0.00938453664166329,0.12309786920754102,257.46455550193787,0.4244708814762117,0.7045616507530212,0.42020586133003235,0.3163711971985117,0.7395753389613712,2.0610737385376345e-05,257.46455550193787,14309.205078125
9,0.03191463845728423,0.0595534524996393,0.0010875713363924307,0.008346459652671364,0.10090212167773288,260.20636439323425,0.43592011065656444,0.708256185054779,0.42647093534469604,0.356294975090719,0.7409823484267076,9.549150281252631e-06,260.20636439323425,14310.97021484375
10,0.0287269730122385,0.050303796684137356,0.0008502529300267415,0.007679929399822717,0.08756095184661901,282.84162855148315,0.4500133828990963,0.7045938372612,0.42651277780532837,0.3904542059881866,0.7356101304681504,2.447174185242323e-06,282.84162855148315,13655.74951171875
