epoch,train/cls_loss,train/reg_loss,train/loss,_epoch_seconds,val/loss,mAP@0.5,mAP@0.5:0.95,Precision,Recall,lr,time/epoch_seconds,memory/peak_mb
1,0.48347961631850506,0.00741645811014239,0.49089607501182314,2214.1513497829437,0.4946212685507429,0.0005121051799505949,0.00011061703116865829,0.0903277378097522,0.014453824507546688,0.0001,2214.1513497829437,1827.47265625
2,0.2551426904093022,0.007377933264224019,0.2625206238188492,82.94225740432739,0.3767829700955654,0.004251332022249699,0.0011916988296434283,0.10520319027725028,0.03543105653619852,9.755282581475769e-05,82.94225740432739,1788.9423828125
3,0.15193466382929102,0.0074060042149566244,0.15934066793408258,83.89842295646667,0.3618630991785776,0.01369418390095234,0.0040163882076740265,0.13556116015132408,0.05500127909951394,9.045084971874737e-05,83.89842295646667,1870.41064453125
4,0.098682549663648,0.007061627067040203,0.10574417646093585,84.65557742118835,0.36943503025793045,0.024952558800578117,0.0076375738717615604,0.14748081414748082,0.056536198516244564,7.938926261462366e-05,84.65557742118835,1870.20361328125
5,0.07043855464928112,0.0065151759556839805,0.07695373048345311,84.35367727279663,0.36222735674600987,0.024966610595583916,0.007466655224561691,0.16327769347496207,0.06881555385008954,6.545084971874737e-05,84.35367727279663,1843.34765625
6,0.04404215731275368,0.006142226042369274,0.050184383185747,84.24196934700012,0.3641543041246357,0.03001757524907589,0.009825153276324272,0.15858095815645845,0.06689690457917626,4.9999999999999996e-05,84.24196934700012,1812.1484375
7,0.026502456546658063,0.005570467724961423,0.03207292418537167,84.20334553718567,0.3666195382345774,0.02801712229847908,0.008233685046434402,0.16110344827586207,0.07469941161422358,3.454915028125263e-05,84.20334553718567,1836.11962890625
8,0.015584462567526302,0.004999510913267542,0.020583973518355538,84.1428427696228,0.3726296657619838,0.027259645983576775,0.007648466620594263,0.15665236051502146,0.07469941161422358,2.0610737385376345e-05,84.1428427696228,1830.517578125
9,0.009387665220270021,0.004529046245956612,0.013916711437890824,83.59191513061523,0.3869015803341234,0.027493981644511223,0.008734675124287605,0.1676443346711948,0.06945510360706063,9.549150281252631e-06,83.59191513061523,1774.74609375
10,0.006675085585648219,0.004227472791178287,0.010902558416745568,84.04193377494812,0.39664686507210545,0.02711649052798748,0.008098963648080826,0.16835236541598694,0.06600153491941672,2.447174185242323e-06,84.04193377494812,1886.62646484375
