epoch,train/loss,val/loss,mAP@0.5,mAP@0.5:0.95,Precision,Recall,lr
79,2.59044,3.65082,0.68402,0.4594,0.72208,0.63125,9.91209e-05
80,2.56224,3.6544100000000004,0.68634,0.46316,0.74277,0.62347,9.49926e-05
81,2.5514599999999996,3.66411,0.68384,0.46411,0.75166,0.61162,9.08643e-05
82,2.55281,3.6488300000000002,0.69133,0.46417,0.75287,0.62738,8.6736e-05
83,2.54781,3.6576700000000004,0.68628,0.46216,0.79259,0.59251,8.26077e-05
84,2.53338,3.63438,0.68516,0.46367,0.73449,0.63248,7.84794e-05
85,2.52412,3.6290899999999997,0.68964,0.46819,0.74803,0.62266,7.43511e-05
86,2.5540700000000003,3.66764,0.68162,0.4607,0.75782,0.60704,7.02228e-05
87,2.5185500000000003,3.6567,0.68801,0.46466,0.74848,0.62531,6.60945e-05
88,2.47499,3.6379400000000004,0.69191,0.46691,0.76007,0.61662,6.19662e-05
89,2.48144,3.63924,0.68977,0.46581,0.75134,0.6245,5.78379e-05
90,2.4712699999999996,3.63399,0.68633,0.46412,0.76434,0.60939,5.37096e-05
91,2.46162,3.64041,0.6854,0.4645,0.76411,0.60792,4.95813e-05
92,2.36787,3.70173,0.67385,0.45052,0.74792,0.60576,4.5453e-05
93,2.2548500000000002,3.68496,0.67839,0.45502,0.73967,0.6233,4.13247e-05
94,2.2101100000000002,3.67889,0.68262,0.46067,0.75595,0.60767,3.71964e-05
95,2.21241,3.67608,0.68474,0.46072,0.74672,0.62173,3.30681e-05
96,2.2100600000000004,3.6582100000000004,0.68698,0.46284,0.75381,0.61754,2.89398e-05
97,2.17927,3.67174,0.68575,0.46192,0.75603,0.61553,2.48115e-05
98,2.17984,3.65804,0.68924,0.46296,0.74273,0.62959,2.06832e-05
99,2.14964,3.6675000000000004,0.68778,0.46231,0.76,0.61346,1.65549e-05
100,2.17052,3.64597,0.68981,0.46543,0.75419,0.62212,1.24266e-05
101,2.1525800000000004,3.65214,0.68942,0.4653,0.7375,0.62727,8.2983e-06
101,2.1525800000000004,3.65214,0.68942,0.4653,0.7375,0.62727,8.2983e-06
